,source,target
1057,"Professional, Scientific, and Technical Services_GA",WISCONSIN CONSERVATIVE LEADERSHIP COALITION
1058,Public Administration_GA,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
1059,Real Estate and Rental and Leasing_GA,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
1060,Administrative and Support and Waste Management and Remediation Services_GA,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
1061,Management of Companies and Enterprises_GA,"EXECUTIVE EAGLES ADVERTISING, LLC"
1062,Health Care and Social Assistance_GA,"EXECUTIVE EAGLES ADVERTISING, LLC"
1063,RETIRED_GA,"EXECUTIVE EAGLES ADVERTISING, LLC"
1064,"Professional, Scientific, and Technical Services_GA","EXECUTIVE EAGLES ADVERTISING, LLC"
1065,Public Administration_GA,"EXECUTIVE EAGLES ADVERTISING, LLC"
1066,Real Estate and Rental and Leasing_GA,"EXECUTIVE EAGLES ADVERTISING, LLC"
1067,Administrative and Support and Waste Management and Remediation Services_GA,"EXECUTIVE EAGLES ADVERTISING, LLC"
1068,Management of Companies and Enterprises_GA,TRUMP VICTORY
1069,Health Care and Social Assistance_GA,TRUMP VICTORY
1070,RETIRED_GA,TRUMP VICTORY
1071,"Professional, Scientific, and Technical Services_GA",TRUMP VICTORY
1072,Public Administration_GA,TRUMP VICTORY
1073,Retail Trade_GA,TRUMP VICTORY
1074,Real Estate and Rental and Leasing_GA,TRUMP VICTORY
1075,Administrative and Support and Waste Management and Remediation Services_GA,TRUMP VICTORY
1076,Management of Companies and Enterprises_AZ,BIDEN FOR PRESIDENT
1077,Health Care and Social Assistance_AZ,BIDEN FOR PRESIDENT
1078,"Professional, Scientific, and Technical Services_AZ",BIDEN FOR PRESIDENT
1079,RETIRED_AZ,BIDEN FOR PRESIDENT
1080,NOT EMPLOYED_AZ,BIDEN FOR PRESIDENT
1081,Public Administration_AZ,BIDEN FOR PRESIDENT
1082,Administrative and Support and Waste Management and Remediation Services_AZ,BIDEN FOR PRESIDENT
1083,Real Estate and Rental and Leasing_AZ,BIDEN FOR PRESIDENT
1084,Construction_AZ,BIDEN FOR PRESIDENT
1085,Transportation and Warehousing_AZ,BIDEN FOR PRESIDENT
1086,Management of Companies and Enterprises_AZ,NRA INSTITUTE FOR LEGISLATIVE ACTION
1087,Health Care and Social Assistance_AZ,NRA INSTITUTE FOR LEGISLATIVE ACTION
1088,"Professional, Scientific, and Technical Services_AZ",NRA INSTITUTE FOR LEGISLATIVE ACTION
1089,RETIRED_AZ,NRA INSTITUTE FOR LEGISLATIVE ACTION
1090,Public Administration_AZ,NRA INSTITUTE FOR LEGISLATIVE ACTION
1091,Real Estate and Rental and Leasing_AZ,NRA INSTITUTE FOR LEGISLATIVE ACTION
1092,Transportation and Warehousing_AZ,NRA INSTITUTE FOR LEGISLATIVE ACTION
1093,Management of Companies and Enterprises_AZ,"MASTER PRINT, INC."
1094,Health Care and Social Assistance_AZ,"MASTER PRINT, INC."
1095,"Professional, Scientific, and Technical Services_AZ","MASTER PRINT, INC."
1096,RETIRED_AZ,"MASTER PRINT, INC."
1097,Public Administration_AZ,"MASTER PRINT, INC."
1098,Real Estate and Rental and Leasing_AZ,"MASTER PRINT, INC."
1099,Transportation and Warehousing_AZ,"MASTER PRINT, INC."
1100,Management of Companies and Enterprises_AZ,UNITED STATES POSTAL SERVICE
1101,Health Care and Social Assistance_AZ,UNITED STATES POSTAL SERVICE
1102,"Professional, Scientific, and Technical Services_AZ",UNITED STATES POSTAL SERVICE
1103,RETIRED_AZ,UNITED STATES POSTAL SERVICE
1104,Public Administration_AZ,UNITED STATES POSTAL SERVICE
1105,Real Estate and Rental and Leasing_AZ,UNITED STATES POSTAL SERVICE
1106,Transportation and Warehousing_AZ,UNITED STATES POSTAL SERVICE
1107,Management of Companies and Enterprises_AZ,BIDEN VICTORY FUND
1108,Health Care and Social Assistance_AZ,BIDEN VICTORY FUND
1109,"Professional, Scientific, and Technical Services_AZ",BIDEN VICTORY FUND
1110,RETIRED_AZ,BIDEN VICTORY FUND
1111,NOT EMPLOYED_AZ,BIDEN VICTORY FUND
1112,Administrative and Support and Waste Management and Remediation Services_AZ,BIDEN VICTORY FUND
1113,Real Estate and Rental and Leasing_AZ,BIDEN VICTORY FUND
1114,Transportation and Warehousing_AZ,BIDEN VICTORY FUND
1115,Management of Companies and Enterprises_AZ,DONALD J. TRUMP FOR PRESIDENT
1116,Health Care and Social Assistance_AZ,DONALD J. TRUMP FOR PRESIDENT
1117,"Professional, Scientific, and Technical Services_AZ",DONALD J. TRUMP FOR PRESIDENT
1118,RETIRED_AZ,DONALD J. TRUMP FOR PRESIDENT
1119,NOT EMPLOYED_AZ,DONALD J. TRUMP FOR PRESIDENT
1120,Public Administration_AZ,DONALD J. TRUMP FOR PRESIDENT
1121,Administrative and Support and Waste Management and Remediation Services_AZ,DONALD J. TRUMP FOR PRESIDENT
1122,Real Estate and Rental and Leasing_AZ,DONALD J. TRUMP FOR PRESIDENT
1123,Construction_AZ,DONALD J. TRUMP FOR PRESIDENT
1124,Transportation and Warehousing_AZ,DONALD J. TRUMP FOR PRESIDENT
1125,Management of Companies and Enterprises_AZ,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1126,Health Care and Social Assistance_AZ,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1127,"Professional, Scientific, and Technical Services_AZ",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1128,RETIRED_AZ,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1129,NOT EMPLOYED_AZ,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1130,Public Administration_AZ,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1131,Administrative and Support and Waste Management and Remediation Services_AZ,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1132,Real Estate and Rental and Leasing_AZ,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1133,Construction_AZ,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1134,Transportation and Warehousing_AZ,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1135,Management of Companies and Enterprises_AZ,STAMPEDE AMERICA
1136,Health Care and Social Assistance_AZ,STAMPEDE AMERICA
1137,"Professional, Scientific, and Technical Services_AZ",STAMPEDE AMERICA
1138,RETIRED_AZ,STAMPEDE AMERICA
1139,Public Administration_AZ,STAMPEDE AMERICA
1140,Real Estate and Rental and Leasing_AZ,STAMPEDE AMERICA
1141,Transportation and Warehousing_AZ,STAMPEDE AMERICA
1142,Management of Companies and Enterprises_AZ,"I360, LLC"
1143,Health Care and Social Assistance_AZ,"I360, LLC"
1144,"Professional, Scientific, and Technical Services_AZ","I360, LLC"
1145,RETIRED_AZ,"I360, LLC"
1146,Public Administration_AZ,"I360, LLC"
1147,Real Estate and Rental and Leasing_AZ,"I360, LLC"
1148,Transportation and Warehousing_AZ,"I360, LLC"
1149,Management of Companies and Enterprises_AZ,NATIONAL RIFLE ASSOCIATION OF AMERICA
1150,Health Care and Social Assistance_AZ,NATIONAL RIFLE ASSOCIATION OF AMERICA
1151,"Professional, Scientific, and Technical Services_AZ",NATIONAL RIFLE ASSOCIATION OF AMERICA
1152,RETIRED_AZ,NATIONAL RIFLE ASSOCIATION OF AMERICA
1153,Public Administration_AZ,NATIONAL RIFLE ASSOCIATION OF AMERICA
1154,Real Estate and Rental and Leasing_AZ,NATIONAL RIFLE ASSOCIATION OF AMERICA
1155,Transportation and Warehousing_AZ,NATIONAL RIFLE ASSOCIATION OF AMERICA
1156,Management of Companies and Enterprises_AZ,"DUSTBUSTERS SWEEPING SERVICE, INC."
1157,Health Care and Social Assistance_AZ,"DUSTBUSTERS SWEEPING SERVICE, INC."
1158,"Professional, Scientific, and Technical Services_AZ","DUSTBUSTERS SWEEPING SERVICE, INC."
1159,RETIRED_AZ,"DUSTBUSTERS SWEEPING SERVICE, INC."
1160,Public Administration_AZ,"DUSTBUSTERS SWEEPING SERVICE, INC."
1161,Real Estate and Rental and Leasing_AZ,"DUSTBUSTERS SWEEPING SERVICE, INC."
1162,Transportation and Warehousing_AZ,"DUSTBUSTERS SWEEPING SERVICE, INC."
1163,Management of Companies and Enterprises_AZ,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
1164,Health Care and Social Assistance_AZ,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
1165,"Professional, Scientific, and Technical Services_AZ",WISCONSIN CONSERVATIVE LEADERSHIP COALITION
1166,RETIRED_AZ,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
1167,Public Administration_AZ,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
1168,Real Estate and Rental and Leasing_AZ,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
1169,Transportation and Warehousing_AZ,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
1170,Management of Companies and Enterprises_AZ,"EXECUTIVE EAGLES ADVERTISING, LLC"
1171,Health Care and Social Assistance_AZ,"EXECUTIVE EAGLES ADVERTISING, LLC"
1172,"Professional, Scientific, and Technical Services_AZ","EXECUTIVE EAGLES ADVERTISING, LLC"
1173,RETIRED_AZ,"EXECUTIVE EAGLES ADVERTISING, LLC"
1174,Public Administration_AZ,"EXECUTIVE EAGLES ADVERTISING, LLC"
1175,Real Estate and Rental and Leasing_AZ,"EXECUTIVE EAGLES ADVERTISING, LLC"
1176,Transportation and Warehousing_AZ,"EXECUTIVE EAGLES ADVERTISING, LLC"
1177,Management of Companies and Enterprises_AZ,TRUMP VICTORY
1178,Health Care and Social Assistance_AZ,TRUMP VICTORY
1179,"Professional, Scientific, and Technical Services_AZ",TRUMP VICTORY
1180,RETIRED_AZ,TRUMP VICTORY
1181,Public Administration_AZ,TRUMP VICTORY
1182,Administrative and Support and Waste Management and Remediation Services_AZ,TRUMP VICTORY
1183,Real Estate and Rental and Leasing_AZ,TRUMP VICTORY
1184,Construction_AZ,TRUMP VICTORY
